date, pm25, pm10, o3, no2
2023/10/8, 14, 8, , 8
2023/10/9, 11, , , 
2023/10/11, 23, 14, , 1
2023/10/12, 17, 11, , 3
2023/10/13, 15, 15, , 4
2023/10/14, 17, 8, , 3
2023/10/15, 12, 11, , 11
2023/10/16, 15, 11, , 2
2023/10/17, 13, 9, , 8
2023/10/18, 13, 5, , 2
2023/10/19, 6, 6, , 2
2023/10/20, 9, 2, , 1
2023/10/21, 8, 4, , 2
2023/10/22, 11, 7, , 4
2023/10/23, 18, 3, , 2
2023/10/24, 8, 3, , 4
2023/10/25, 8, 5, , 4
2023/10/26, 7, 7, , 5
2023/10/27, 12, 6, , 3
2023/10/28, 14, 3, , 1
2023/10/29, 9, 9, , 5
2023/10/30, 17, 5, , 4
2023/10/31, 7, 6, , 4
2023/11/1, 8, 6, , 2
2023/11/2, 17, 10, , 3
2023/11/3, 27, 12, , 2
2023/11/4, 25, 7, , 2
2023/11/5, 19, 9, , 5
2023/11/6, 23, 9, , 6
2023/11/7, 24, 11, , 11
2023/11/8, 22, 10, , 11
2023/11/9, 19, 6, , 9
2023/11/10, 12, 5, , 7
2023/11/11, 15, 6, , 5
2023/11/12, 17, 4, , 3
2023/11/13, 10, 5, , 3
2023/11/14, 7, 7, , 4
2023/11/15, 8, 8, , 3
2023/11/16, 10, 11, , 7
2023/11/17, 14, 5, , 3
2023/11/18, 13, 4, , 1
2023/11/19, 14, 9, , 5
2023/11/20, 17, 9, , 4
2023/11/21, 20, 7, , 2
2023/11/22, 19, 13, , 2
2023/11/23, 15, 8, , 5
2023/11/24, 4, 8, , 5
2023/11/25, 11, 18, , 16
2023/11/26, 26, 14, , 11
2023/11/27, 20, 12, , 6
2023/11/28, 15, 7, , 11
2023/11/29, 16, 6, , 8
2023/11/30, 17, 7, , 6
2023/12/1, 18, 9, , 9
2023/12/2, 27, 7, , 6
2023/12/3, 29, 8, , 7
2023/12/4, 28, 9, , 10
2023/12/5, 26, 5, , 7
2023/12/6, 16, 11, , 11
2023/12/7, 32, 14, , 7
2023/12/8, 52, 13, , 3
2023/12/9, 53, 10, , 2
2023/12/10, 43, 5, , 6
2023/12/11, 15, 9, , 8
2023/12/12, 25, 7, , 5
2023/12/13, 16, 9, , 4
2023/12/14, 20, 15, , 9
2023/12/15, 43, 17, , 4
2023/12/16, 48, 15, , 3
2023/12/17, 43, 5, , 4
2023/12/18, 20, 19, , 7
2023/12/19, 43, 13, , 3
2023/12/20, 32, 11, , 3
2023/12/21, 27, 3, , 3
2023/12/22, 8, 9, , 13
2023/12/23, 21, 6, , 5
2023/12/24, 19, 16, , 2
2023/12/25, 38, 8, , 3
2023/12/26, 21, 8, , 16
2023/12/27, 17, 11, , 2
2023/12/28, 31, 12, , 2
2023/12/29, 37, 10, , 9
2023/12/30, 28, 2, , 1
2023/12/31, 7, 2, , 
2023/7/1, 43, 12, , 1
2023/7/2, 31, 13, , 2
2023/7/3, 28, 11, , 1
2023/7/4, 25, 12, , 2
2023/7/5, 33, 9, , 3
2023/7/6, 27, 12, , 6
2023/7/7, 33, 13, , 5
2023/7/8, 33, 13, , 9
2023/7/9, 41, 13, , 4
2023/7/10, 38, 11, , 2
2023/7/11, 30, 9, , 3
2023/7/12, 28, 10, , 2
2023/7/13, 24, 10, , 2
2023/7/14, 25, 10, , 1
2023/7/15, 26, 13, , 1
2023/7/16, 29, 14, , 
2023/7/17, 23, 10, , 2
2023/7/18, 13, 11, , 1
2023/7/19, 15, 10, , 1
2023/7/20, 15, 8, , 4
2023/7/21, 13, 6, , 1
2023/7/22, 10, 7, , 1
2023/7/23, 20, 7, , 1
2023/7/24, 20, 11, , 4
2023/7/25, 18, 7, , 1
2023/7/26, 15, 6, , 3
2023/7/27, 14, 9, , 6
2023/7/28, 20, 8, , 2
2023/7/29, 25, 10, , 3
2023/7/30, 24, 5, , 2
2023/7/31, 11, 5, , 1
2023/8/1, 13, 6, , 3
2023/8/2, 14, 10, , 3
2023/8/3, 18, 14, , 3
2023/8/4, 25, 10, , 1
2023/8/5, 15, 5, , 2
2023/8/6, 10, 4, , 2
2023/8/7, 19, 10, , 4
2023/8/8, 13, 10, , 3
2023/8/9, 14, 9, , 2
2023/8/10, 11, 11, , 1
2023/8/11, 22, 12, , 2
2023/8/12, 31, 16, , 2
2023/8/13, 36, 13, , 2
2023/8/14, 30, 18, , 3
2023/8/15, 41, 8, , 3
2023/8/16, 12, 8, , 4
2023/8/17, 9, 9, , 3
2023/8/18, 19, 8, , 
2023/8/19, 23, 11, , 1
2023/8/20, 29, 11, , 6
2023/8/21, 18, 11, , 4
2023/8/22, 19, 8, , 4
2023/8/23, 16, 9, , 4
2023/8/24, 11, 5, , 2
2023/8/25, 13, 5, , 2
2023/8/26, 17, 8, , 
2023/8/27, 19, 5, , 3
2023/8/28, 9, 9, , 2
2023/8/29, 16, 9, , 4
2023/8/30, 21, 10, , 5
2023/8/31, 18, 8, , 5
2023/9/1, 21, 11, , 5
2023/9/2, 17, 10, , 2
2023/9/3, 16, 13, , 5
2023/9/4, 24, 15, , 5
2023/9/5, 38, 10, , 4
2023/9/6, 21, 12, , 3
2023/9/7, 30, 14, , 5
2023/9/8, 37, 21, , 2
2023/9/9, 57, 23, , 4
2023/9/10, 60, 23, , 1
2023/9/11, 52, 14, , 4
2023/9/12, 32, 10, , 5
2023/9/13, 12, 23, , 5
2023/9/14, 41, 155, , 1
2023/9/15, 311, 17, , 2
2023/9/16, 47, 9, , 2
2023/9/17, 28, 10, , 1
2023/9/18, 29, 10, , 1
2023/9/19, 23, 10, , 1
2023/9/20, 22, 12, , 2
2023/9/21, 28, 10, , 5
2023/9/22, 28, 7, , 3
2023/9/23, 18, 8, , 1
2023/9/24, 15, 11, , 1
2023/9/25, 21, 13, , 3
2023/9/26, 34, 26, , 4
2023/9/27, 64, 19, , 3
2023/9/28, 50, 14, , 2
2023/9/29, 26, 13, , 2
2023/9/30, 16, 8, , 2
2023/5/2, 17, 19, , 6
2023/5/3, 22, 10, , 3
2023/5/4, 12, 6, , 1
2023/5/5, 10, 6, , 3
2023/5/6, 14, 9, , 3
2023/5/7, 18, 17, , 3
2023/5/8, 32, 21, , 2
2023/5/9, 32, 20, , 2
2023/5/10, 35, 21, , 7
2023/5/11, 44, 22, , 7
2023/5/12, 42, 24, , 5
2023/5/13, 47, 19, , 2
2023/5/14, 30, 26, , 5
2023/5/15, 37, 21, , 6
2023/5/16, 49, 8, , 1
2023/5/17, 9, 13, , 3
2023/5/18, 21, 13, , 6
2023/5/19, 28, 14, , 4
2023/5/20, 36, 12, , 2
2023/5/21, 30, 17, , 3
2023/5/22, 35, 15, , 4
2023/5/23, 32, 17, , 8
2023/5/24, 45, 18, , 3
2023/5/25, 29, 11, , 1
2023/5/26, 14, 16, , 3
2023/5/27, 26, 14, , 2
2023/5/28, 21, 14, , 4
2023/5/29, 20, 12, , 5
2023/5/30, 17, 13, , 4
2023/5/31, 21, 23, , 4
2023/6/1, 14, 9, , 3
2023/6/2, 13, 10, , 3
2023/6/3, 21, 14, , 3
2023/6/4, 30, 16, , 8
2023/6/5, 38, 14, , 2
2023/6/6, 30, 22, , 8
2023/6/7, 45, 17, , 6
2023/6/8, 43, 11, , 3
2023/6/9, 22, 7, , 1
2023/6/10, 16, 9, , 3
2023/6/11, 16, 15, , 3
